ingredient,intersection
Chicken Marsala With Mushrooms and Shallots,"['Mushroom and Asparagus Risotto', 'Chicken Piccata', 'Caldo Verde', 'Pasta With Butternut Squash and Sage Brown Butter', 'Easy Creamy Chicken Enchilada Soup', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Easy Vegetable Fried Rice', 'Tuscan Ribollita With Summer Vegetables', 'Cacio e Pepe', 'Extra-Crispy Bar-Style Tortilla Pizza']"
Easy Creamy Chicken Enchilada Soup,"['Mushroom and Asparagus Risotto', 'Caldo Verde', 'Chicken Marsala With Mushrooms and Shallots', 'Spicy Chicken Quesadillas', 'Easy Vegetable Fried Rice', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Tuscan Ribollita With Summer Vegetables', 'Corn and Zucchini Quesadillas', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Chicken Piccata']"
Stir-Fried Lo Mein Noodles With Pork and Vegetables,"['Easy Vegetable Fried Rice', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Tuscan Ribollita With Summer Vegetables', 'Chicken Marsala With Mushrooms and Shallots', 'Mushroom and Asparagus Risotto', 'Easy Creamy Chicken Enchilada Soup', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Roman-Style Fettuccine With Alfredo Sauce', 'Cacio e Pepe', 'Caldo Verde']"
Extra-Crispy Bar-Style Tortilla Pizza,"['Tuscan Ribollita With Summer Vegetables', 'Cacio e Pepe', 'Chicken Marsala With Mushrooms and Shallots', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Roman-Style Fettuccine With Alfredo Sauce', 'Mushroom and Asparagus Risotto', 'Spicy Chicken Quesadillas', 'Corn and Zucchini Quesadillas', 'Caldo Verde']"
Easy Vegetable Fried Rice,"['Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Chicken Marsala With Mushrooms and Shallots', 'Easy Creamy Chicken Enchilada Soup', 'Tuscan Ribollita With Summer Vegetables', 'Mushroom and Asparagus Risotto', 'Chicken Piccata', 'Caldo Verde', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Roman-Style Fettuccine With Alfredo Sauce']"
Chicken Piccata,"['Chicken Marsala With Mushrooms and Shallots', 'Mushroom and Asparagus Risotto', 'Pasta With Butternut Squash and Sage Brown Butter', 'Roman-Style Fettuccine With Alfredo Sauce', 'Caldo Verde', 'Easy Creamy Chicken Enchilada Soup', 'Easy Vegetable Fried Rice', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Tuscan Ribollita With Summer Vegetables', 'Spicy Chicken Quesadillas']"
Quick and Easy Pork Fried Rice With Corn and Shishito Peppers,"['Easy Vegetable Fried Rice', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Easy Creamy Chicken Enchilada Soup', 'Chicken Marsala With Mushrooms and Shallots', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Chicken Piccata', 'Roman-Style Fettuccine With Alfredo Sauce', 'Tuscan Ribollita With Summer Vegetables', 'Mushroom and Asparagus Risotto', 'Cacio e Pepe']"
Roman-Style Fettuccine With Alfredo Sauce,"['Chicken Piccata', 'Tuscan Ribollita With Summer Vegetables', 'Mushroom and Asparagus Risotto', 'Cacio e Pepe', 'Pasta With Butternut Squash and Sage Brown Butter', 'Chicken Marsala With Mushrooms and Shallots', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Caldo Verde']"
Tuscan Ribollita With Summer Vegetables,"['Mushroom and Asparagus Risotto', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Cacio e Pepe', 'Caldo Verde', 'Chicken Marsala With Mushrooms and Shallots', 'Easy Creamy Chicken Enchilada Soup', 'Easy Vegetable Fried Rice', 'Roman-Style Fettuccine With Alfredo Sauce', 'Pasta With Butternut Squash and Sage Brown Butter']"
Mushroom and Asparagus Risotto,"['Chicken Marsala With Mushrooms and Shallots', 'Caldo Verde', 'Easy Creamy Chicken Enchilada Soup', 'Chicken Piccata', 'Tuscan Ribollita With Summer Vegetables', 'Pasta With Butternut Squash and Sage Brown Butter', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Easy Vegetable Fried Rice', 'Roman-Style Fettuccine With Alfredo Sauce', 'Cacio e Pepe']"
Spicy Chicken Quesadillas,"['Corn and Zucchini Quesadillas', 'Easy Creamy Chicken Enchilada Soup', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Chicken Piccata', 'Chicken Marsala With Mushrooms and Shallots', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Easy Vegetable Fried Rice', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Roman-Style Fettuccine With Alfredo Sauce', 'Tuscan Ribollita With Summer Vegetables']"
Cacio e Pepe,"['Tuscan Ribollita With Summer Vegetables', 'Chicken Marsala With Mushrooms and Shallots', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Roman-Style Fettuccine With Alfredo Sauce', 'Mushroom and Asparagus Risotto', 'Caldo Verde', 'Pasta With Butternut Squash and Sage Brown Butter', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Chicken Piccata', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers']"
Corn and Zucchini Quesadillas,"['Spicy Chicken Quesadillas', 'Easy Creamy Chicken Enchilada Soup', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Chicken Piccata', 'Quick and Easy Pork Fried Rice With Corn and Shishito Peppers', 'Tuscan Ribollita With Summer Vegetables', 'Chicken Marsala With Mushrooms and Shallots', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Easy Vegetable Fried Rice', 'Roman-Style Fettuccine With Alfredo Sauce']"
Caldo Verde,"['Mushroom and Asparagus Risotto', 'Chicken Marsala With Mushrooms and Shallots', 'Easy Creamy Chicken Enchilada Soup', 'Tuscan Ribollita With Summer Vegetables', 'Pasta With Butternut Squash and Sage Brown Butter', 'Chicken Piccata', 'Cacio e Pepe', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Easy Vegetable Fried Rice']"
Pasta With Butternut Squash and Sage Brown Butter,"['Chicken Marsala With Mushrooms and Shallots', 'Chicken Piccata', 'Mushroom and Asparagus Risotto', 'Caldo Verde', 'Roman-Style Fettuccine With Alfredo Sauce', 'Tuscan Ribollita With Summer Vegetables', 'Cacio e Pepe', 'Easy Creamy Chicken Enchilada Soup', 'Extra-Crispy Bar-Style Tortilla Pizza', 'Stir-Fried Lo Mein Noodles With Pork and Vegetables']"
